Name,Image URL,Origin,Length,Color,Stem Price,Quantity
"Anthurium Lovely Fantasy Love","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FM_9e3abff0-2249-4b74-9488-12289556525a.jpg","NL","7 cm","rgb(255, 192, 203)","1.39","x 30"
"Anthurium Lovely Fresh Love","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FM_fed3f02d-ec87-4cb3-beae-b9accb0d4c77.jpg","NL","7 cm","rgb(255, 253, 208)","1.39","x 30"
"Anthurium Lovely White Love","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FM_3384aa74-2578-4eec-aec2-254395806d94.jpg","NL","7 cm","rgb(255, 255, 255)","1.39","x 30"
"Anthurium Lucardi","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FM_f03d3a40-c18a-47b6-be66-0443cffb3b38.jpg","NL","15 cm","rgb(255, 192, 203)","1.60","x 10"
"Anthurium Lucardi","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F106131.jpg%3F3","NL","13 cm","rgb(255, 192, 203)","1.48","x 12"
"Anthurium Lucardi","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F106131.jpg%3F3","NL","11 cm","rgb(255, 192, 203)","1.18","x 16"
"Anthurium Lunette","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FM_90a1bda3-5883-4f7c-a6a7-13f2654657a1.jpg","NL","13 cm","rgb(255, 192, 203)","2.15","x 12"
"Anthurium Lybra","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F121302.jpg%3F4","NL","15 cm","rgb(255, 255, 255)","1.65","x 10"
"Anthurium Lybra","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F121302.jpg%3F4","NL","9 cm","rgb(255, 255, 255)","0.95","x 20"
"Anthurium Lybra","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F121302.jpg%3F4","NL","9 cm","rgb(255, 255, 255)","0.95","x 20"
